supplier_id,supplier_name,category,M1_Status,Adjusted_Cost_Index,cost_quartile,cost_position,ESG_Position_Tier,risk_level,delivery_risk,T_capability_flag,Q_quality_warning,C_cost_warning,Strategic_Pool,sourcing_recommendation,pool_reason,dashboard_flag
S45,Supplier_S45,General_Raw,PASS,0.14281945057883416,Q1_Best,10.0,ESG Monitor,high,low,Capability gap,No quality concern,No cost concern,Restricted,Do not prioritize. Remediate M1 limitations or diagnostic gaps first.,2 high diagnostic flags; needs management review,Red
S46,Supplier_S46,General_Raw,PASS,0.16093426581211895,Q1_Best,20.0,ESG Compliant,high,low,Capability gap,No quality concern,No cost concern,Restricted,Do not prioritize. Remediate M1 limitations or diagnostic gaps first.,2 high diagnostic flags; needs management review,Red
S41,Supplier_S41,General_Raw,LIMITED_QUALITY_TECH,0.3201716738197425,Q2,40.0,ESG Monitor,high,low,Standard capability,Quality concern flagged in M1,No cost concern,Restricted,Do not prioritize. Remediate M1 limitations or diagnostic gaps first.,Not M1-PASS; retained for diagnostic reference,Red
S40,Supplier_S40,General_Raw,PASS,0.43105774624600196,Q2,50.0,ESG Monitor,high,low,Capability gap,No quality concern,No cost concern,Restricted,Do not prioritize. Remediate M1 limitations or diagnostic gaps first.,2 high diagnostic flags; needs management review,Red
S50,Supplier_S50,General_Raw,LIMITED_ETHICS,0.5343263976164734,Q3,70.0,ESG Monitor,high,medium,Standard capability,No quality concern,No cost concern,Restricted,Do not prioritize. Remediate M1 limitations or diagnostic gaps first.,Not M1-PASS; retained for diagnostic reference,Red
S49,Supplier_S49,General_Raw,PASS,0.6425176827811608,Q4_Worst,100.0,ESG Monitor,high,medium,Capability gap,No quality concern,Adjusted cost outlier / Cost pressure,Restricted,Do not prioritize. Remediate M1 limitations or diagnostic gaps first.,2 high diagnostic flags; needs management review,Red
S09,Supplier_S09,Key_Component,PASS,0.6,Q4_Worst,88.9,ESG Leader,low,low,Strong capability,No quality concern,Adjusted cost outlier / Cost pressure,Conditional,Manager review required. Conditional sourcing consideration.,Conditional: cost quartile Q4,Amber
S02,Supplier_S02,Key_Component,PASS,0.6782620524393883,Q4_Worst,100.0,ESG Leader,low,low,Strong capability,No quality concern,Adjusted cost outlier / Cost pressure,Conditional,Manager review required. Conditional sourcing consideration.,Conditional: cost quartile Q4,Amber
S05,Supplier_S05,Key_Component,PASS,0.4196074450248413,Q3,66.7,ESG Leader,low,low,Strong capability,No quality concern,No cost concern,Core,Valid allocation candidate. Consider for sourcing RFQ.,Adequate cost-ESG position; minor or no diagnostic concerns,Green
S04,Supplier_S04,Key_Component,PASS,0.42650887663075276,Q3,77.8,ESG Compliant,medium,low,Strong capability,No quality concern,Adjusted cost outlier / Cost pressure,Core,Valid allocation candidate. Consider for sourcing RFQ.,Adequate cost-ESG position; minor or no diagnostic concerns,Green
S11,Supplier_S11,Key_Component,PASS,0.3019667370170849,Q1_Best,11.1,ESG Leader,medium,medium,Strong capability,No quality concern,No cost concern,Preferred,Primary allocation candidate. Include in sourcing RFQ.,Strong cost position and ESG profile; no diagnostic concerns,Green
S08,Supplier_S08,Key_Component,PASS,0.3705675113019632,Q1_Best,33.3,ESG Leader,medium,low,Strong capability,No quality concern,No cost concern,Preferred,Primary allocation candidate. Include in sourcing RFQ.,Strong cost position and ESG profile; no diagnostic concerns,Green
S07,Supplier_S07,Key_Component,PASS,0.4,Q2,44.4,ESG Compliant,medium,low,Strong capability,No quality concern,No cost concern,Preferred,Primary allocation candidate. Include in sourcing RFQ.,Strong cost position and ESG profile; no diagnostic concerns,Green
S03,Supplier_S03,Key_Component,PASS,0.4177448441964132,Q2,55.6,ESG Compliant,medium,low,Strong capability,No quality concern,No cost concern,Preferred,Primary allocation candidate. Include in sourcing RFQ.,Strong cost position and ESG profile; no diagnostic concerns,Green
S10,Supplier_S10,Key_Component,LIMITED_QUALITY_TECH,0.3308282022707193,Q1_Best,22.2,ESG Compliant,medium,low,Standard capability,Quality concern flagged in M1,No cost concern,Restricted,Do not prioritize. Remediate M1 limitations or diagnostic gaps first.,Not M1-PASS; retained for diagnostic reference,Red
