supplier_id,supplier_name,category,sub_category,country,city,material_service,annual_contract_value_usd,cooperation_start_date,rating,status,payment_terms,lead_time_days,cert_type,cert_expiry_year,yield_rate,defect_rate_ppm,altman_z_score,cmrt_audit,pcf_commitment,carbon_intensity,assembly_value_add,kaizen_factor,rba_audit_pass,forced_labor_risk,export_control_restricted
S25,Supplier_S25,General_Comp,connector,Japan,大阪,高压连接器,39970000,2016-11-01,4.8,active,Net 60,17,IATF 16949,2028,0.994,6000,3.53,True,True,0.242,,0.035,True,False,False
S26,Supplier_S26,General_Comp,aluminum_shell,China,东莞,电池铝壳,12524000,2021-08-01,3.9,active,Net 30,16,ISO 9001,2025,0.929,71000,2.22,True,False,0.646,,0.01,True,False,False
S27,Supplier_S27,General_Comp,fuse,China,佛山,高压熔断器,15240000,2019-10-20,4.3,active,Net 30,5,ISO 9001,2027,0.975,25000,2.51,True,False,0.536,,0.036,True,False,False
S28,Supplier_S28,General_Comp,connector,China,杭州,高压连接器,14561000,2020-03-01,4.1,active,Net 30,16,ISO 9001,2026,0.969,31000,2.37,True,False,0.603,,0.035,True,False,False
S29,Supplier_S29,General_Comp,thermal_management,China,苏州,导热凝胶,16448000,2019-06-01,4.3,active,Net 30,12,ISO 9001,2027,0.972,28000,2.53,True,False,0.593,,0.0,True,False,False
S30,Supplier_S30,General_Comp,busbar,Malaysia,新山,铜铝复合汇流排,17283000,2020-01-15,4.2,active,Net 45,16,ISO 9001,2026,0.969,31000,2.53,True,False,0.462,0.234,0.026,True,False,False
S31,Supplier_S31,General_Comp,connector,Malaysia,巴生,高压连接器,16339000,2020-04-01,4.0,active,Net 45,19,ISO 9001,2027,0.969,31000,2.45,True,True,,0.335,0.026,True,False,True
S32,Supplier_S32,General_Comp,fuse,Malaysia,马六甲,高压熔断器,13431000,2020-07-01,4.0,active,Net 30,11,ISO 9001,2026,0.967,33000,2.25,True,True,,0.295,0.036,True,False,False
S33,Supplier_S33,General_Comp,thermal_management,South Korea,釜山,导热凝胶,30884000,2018-09-01,4.5,active,Net 45,18,ISO 9001,2027,0.982,18000,3.0,True,True,0.33,,0.011,True,False,False
S34,Supplier_S34,General_Comp,connector,USA,底特律,高压连接器,36192000,2017-12-01,4.6,active,Net 60,23,ISO 9001,2028,0.983,17000,3.59,True,True,0.314,,0.015,True,False,False
S35,Supplier_S35,General_Comp,aluminum_shell,Indonesia,苏拉威西,电池铝壳,9515000,2022-05-01,3.9,active,Net 60,26,ISO 9001,2025,0.955,45000,1.99,True,True,0.502,,0.012,False,False,False
S36,Supplier_S36,General_Comp,aluminum_shell,China,南京,电池铝壳,12851000,2020-11-01,4.2,active,Net 30,17,ISO 9001,2026,0.959,41000,2.23,True,False,0.613,,0.028,True,False,False
S37,Supplier_S37,General_Comp,aluminum_shell,Malaysia,莎阿南,电池铝壳,15105000,2020-08-01,3.9,active,Net 45,13,ISO 9001,2027,0.963,37000,2.3,True,False,0.434,0.311,0.035,True,False,False
S38,Supplier_S38,General_Raw,graphite,China,南昌,人造石墨,22433000,2019-03-01,4.3,active,Net 30,28,IATF 16949,2027,0.989,11000,2.46,True,False,0.649,,0.055,True,False,False
S39,Supplier_S39,General_Raw,copper_foil,China,郑州,锂电铜箔,18744000,2020-02-15,4.1,active,Net 30,25,ISO 9001,2026,0.975,25000,2.26,True,False,0.589,,0.032,True,False,False
S40,Supplier_S40,General_Raw,manganese,China,重庆,电解二氧化锰,16624000,2020-06-01,3.9,active,Net 30,11,ISO 9001,2026,0.969,31000,1.92,True,False,0.605,,0.019,True,False,False
S41,Supplier_S41,General_Raw,recycled_material,China,沈阳,再生钴粉,14060000,2021-08-01,3.8,active,Net 30,28,ISO 9001,2025,0.966,34000,1.81,True,False,0.525,,0.014,True,False,False
S42,Supplier_S42,General_Raw,alumina,China,芜湖,高纯氧化铝,11552000,2021-11-01,3.7,active,Net 30,12,ISO 9001,2026,0.962,38000,1.62,True,False,0.648,,0.002,True,False,False
S43,Supplier_S43,General_Raw,zinc,China,宜春,锌粉添加剂,10031000,2022-04-01,3.6,active,Net 30,21,ISO 9001,2025,0.956,44000,1.75,True,False,0.618,,0.013,True,False,False
S44,Supplier_S44,General_Raw,graphite,Malaysia,古晋,人造石墨,22649000,2020-05-01,4.1,active,Net 45,37,ISO 9001,2027,0.974,26000,2.22,True,False,0.457,0.254,0.033,True,False,False
S45,Supplier_S45,General_Raw,copper_foil,Malaysia,亚庇,锂电铜箔,17836000,2020-10-01,3.8,active,Net 45,31,ISO 9001,2026,0.966,34000,2.05,True,False,0.502,0.192,0.026,True,False,False
S46,Supplier_S46,General_Raw,manganese,Malaysia,怡保,电解二氧化锰,16728000,2021-03-01,3.8,active,Net 30,19,ISO 9001,2026,0.965,35000,2.02,True,True,,0.214,0.014,True,False,False
S47,Supplier_S47,General_Raw,recycled_material,Malaysia,芙蓉,再生钴粉,13320000,2021-07-01,3.6,active,Net 45,31,ISO 9001,2025,0.957,43000,1.81,True,True,0.538,0.136,0.019,False,False,False
S48,Supplier_S48,General_Raw,graphite,Australia,悉尼,人造石墨,39966000,2018-08-01,4.5,active,Net 45,37,ISO 9001,2027,0.983,17000,3.19,True,True,0.416,,0.025,True,False,False
S49,Supplier_S49,General_Raw,manganese,South Africa,开普敦,电解二氧化锰,26727000,2020-12-01,4.0,active,Net 45,40,ISO 9001,2026,0.971,29000,2.1,True,True,0.57,,0.007,True,False,False
S50,Supplier_S50,General_Raw,alumina,South Africa,开普敦,高纯氧化铝,21055000,2021-06-01,3.9,active,Net 45,37,ISO 9001,2026,0.962,38000,2.02,False,True,0.606,,0.016,True,False,False
