parameter,module,current_value,unit,role,current_source,real_company_replacement,status,notes
m2_revised_riskcontrol_risk_min,M2,0.50,threshold,minimum Risk_Score to qualify in Risk-Control View,MVP scenario assumption,enterprise risk appetite threshold,provisional,Suppliers below this threshold are excluded from shortlist regardless of Cost-ESG score.
tqrdc_tech_strong_threshold,M2 (TQRDC),0.75,threshold,Tech_Score threshold for 'Strong capability' flag,MVP scenario assumption,technology evaluation criteria or supplier capability policy,provisional,Diagnostic-only; not a weighted score.
tqrdc_tech_standard_threshold,M2 (TQRDC),0.50,threshold,Tech_Score threshold for 'Standard capability' flag,MVP scenario assumption,technology evaluation criteria or supplier capability policy,provisional,Below this threshold triggers 'Capability gap'.
tqrdc_cost_warning_threshold,M2 (TQRDC),0.45,threshold,Cost_Score below this triggers cost disadvantage warning,MVP scenario assumption,cost competitiveness baseline or category budget threshold,provisional,Cost is already in Step 1 shortlist; this is a diagnostic-only flag.
tqrdc_esg_warning_threshold,M2 (TQRDC),0.45,threshold,ESG_Score below this triggers ESG weakness warning,MVP scenario assumption,ESG compliance baseline or sustainability policy,provisional,ESG weakness appears in key_warning but does not affect shortlist score.
tqrdc_quality_source,M2 (TQRDC),M1_Risk_Vector,source,Quality diagnostic derived from M1_Risk_Vector not re-scored,design decision,M1 gate output,provisional,Binary flag: 'Quality concern flagged in M1' or 'No quality concern'.
m2_adj_cost_base_weight,M2 (Adjusted Cost Index),0.60,weight,Base Cost component weight in Adjusted Cost Index,MVP scenario assumption,category-specific procurement cost data,provisional,Category overrides exist for Critical_Raw (base=0.50 logistics=0.35 carbon=0.15).
m2_adj_cost_logistics_weight,M2 (Adjusted Cost Index),0.25,weight,Logistics/Landed Cost component weight in Adjusted Cost Index,MVP scenario assumption,category-specific logistics cost data,provisional,Default weight used unless category override exists.
m2_adj_cost_carbon_weight,M2 (Adjusted Cost Index),0.15,weight,Carbon Cost component weight in Adjusted Cost Index,MVP scenario assumption,company carbon pricing or CBAM exposure data,provisional,Uniform scaling does not change category-internal rank.
m2_adj_cost_normalization,M2 (Adjusted Cost Index),min-max,method,Normalization method for cost component values within category,MVP scenario assumption,confirmed normalization policy,provisional,min-max produces [0,1] bounded values; alternative is z-score.
m2_adj_cost_costly_quartile_pct,M2 (Adjusted Cost Index),0.75,threshold,Adjusted Cost Index above this percentile flagged as costly,MVP scenario assumption,category cost tolerance policy,provisional,Any supplier above this percentile relative within its category.
m2_cost_premium_enabled,M2 (Scenario Premium Layer),False,boolean,master switch for optional premium cost components,design control default disabled,management approval to use company-specific premium cost data,provisional,Scenario Premium Layer is not part of M1 qualification; enable only after real replacement data is available.
m2_cost_delay_weight,M2 (Scenario Premium Layer),0,weight,Delay Penalty component weight in Adjusted Cost Index,disabled scenario parameter,category-specific delay cost policy or contract penalty weighting,provisional,Default 0 to avoid false precision before delay cost data is confirmed.
m2_delay_cost_rate,M2 (Scenario Premium Layer),TBD,cost rate,cost impact assigned to late delivery or lead-time variance,scenario input pending confirmation,contract late-delivery penalty clause or ERP late-delivery cost history,pending,Replacement path should use actual penalty clauses or operational loss records.
m2_cost_risk_weight,M2 (Scenario Premium Layer),0,weight,Risk Premium component weight in Adjusted Cost Index,disabled scenario parameter,finance or risk-management approved risk premium weighting,provisional,Default 0 because risk remains diagnostic unless monetized.
m2_risk_premium_schedule,M2 (Scenario Premium Layer),TBD,schedule,mapping from supplier risk level to cost uplift,scenario input pending confirmation,historical disruption loss data insurance premium or finance-approved risk rate,pending,Use only if the company can defend the risk-to-cost conversion.
m2_cost_quality_weight,M2 (Scenario Premium Layer),0,weight,Quality Cost component weight in Adjusted Cost Index,disabled scenario parameter,category-specific quality cost weighting,provisional,Default 0 because M1 quality gate should not be double-counted without cost evidence.
m2_quality_cost_rate,M2 (Scenario Premium Layer),TBD,cost rate,cost impact assigned to defects rework rejection or warranty exposure,scenario input pending confirmation,quality cost records scrap rework returns warranty or defect-cost data,pending,Replacement path should use actual quality loss records rather than another qualification score.
